IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Rating,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Investing CF,Financing CF,Profit Margin,Tax / Revenue,Equity,Working Capital
2020-10-16,PRAX,"Praxis Precision Medicines, Inc.",19.00,52.88,178.32%,903608152,10000000,190000000,389.10,-86.41%,NASDAQ,Healthcare,Biotechnology,United States,82,,136123,Strong Buy,,,,2447000,,,2447000,,-123277000,,-122008000,38950000,91871000,-5037.88%,,69669000,69131000
2020-10-16,OPT,Opthea Limited,13.50,3.63,-73.19%,300749584,9500000,128250000,11.05,-67.24%,NASDAQ,Healthcare,Biotechnology,Australia,24,,5867,Strong Buy,,,,385275,93.60%,,252210,125.24%,-142521085,,-88364570,-14372,109508810,-36992.04%,-1006.95%,-3831629,52136632
2020-10-16,BTWN,Bridgetown Holdings Limited,10.00,,,184302585,55000000,550000000,,,,Financials,Shell Companies,Hong Kong,,,,,,,,,,,,,,,,,,,,,
2020-10-16,ALGS,"Aligos Therapeutics, Inc.",15.00,0.82,-94.55%,59367332,10000000,150000000,17.40,-95.30%,NASDAQ,Healthcare,Biotechnology,United States,66,2018,129863,,,,,15529000,11.66%,-24.20%,15529000,11.66%,-87679000,,-85058000,44981000,88328000,-564.61%,5.12%,92080000,117178000
2020-10-16,EAR,"Eargo, Inc.",18.00,2.57,-85.72%,53359368,7851852,141333336,,,,Healthcare,Medical Devices,United States,243,2010,,,,,,,,,,,,,,,,,,,
2020-10-16,KRBP,"Kiromic BioPharma, Inc.",12.00,2.71,-77.42%,3491130,1250000,15000000,354.00,-99.23%,OTCMKTS,Healthcare,Biotechnology,United States,35,2006,1584,,,,,,,,,,-21916200,,-15112100,-206600,23990700,,,-9120800,-15948300
2020-10-16,TMPM,Turmeric Acquisition Corp.,10.00,10.03,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,MNSO,MINISO Group Holding Limited,20.00,22.22,11.10%,6906713726,30400000,608000000,24.40,-8.93%,NYSE,Consumer Discretionary,Specialty Retail,China,3696,2013,675022,Strong Buy,0.70,3.13%,,1951875458,39.43%,54.00%,786391814,64.50%,317805501,111.48%,,50975808,-206597298,16.28%,5.00%,1265224321,817059051
2020-10-15,EBC,"Eastern Bankshares, Inc.",10.00,12.94,29.40%,2282965380,,,12.25,5.63%,NASDAQ,Financials,Banks - Regional,United States,1744,1818,673972,Buy,0.44,3.40%,5.00%,292604000,-53.32%,-4.14%,292604000,-53.32%,232177000,16.23%,192511000,2400265000,-2138386000,79.35%,-21.64%,2974855000,
2020-10-15,ARRY,"Array Technologies, Inc.",22.00,11.94,-45.73%,1811608440,47500000,1045000000,29.50,-59.53%,NASDAQ,Technology,Solar,United States,1082,1989,3488363,Buy,,,,1576551000,-3.72%,-15.04%,415551000,95.35%,85549000,,261654000,-16821000,-101761000,5.43%,2.53%,259248000,496590000
